ESTILO,DOBLILLADOR,PESPUNTADOR,PRELIMINAR,REBAJADOR,LINEA
10300,32,133,619,36,4
10302,60,221,1050,36,1
10303,54,417,1782,23,5
10551,162,295,1185,39,7
10552,0,412,1589,30,5
10554,0,126,716,20,4
10673,32,133,555,36,4
10693,32,183,585,36,4
10699,90,202,1106,54,7
10700,66,278,1396,30,6
10709,32,169,631,36,4
11002,77,206,737,44,3
11061,66,280,1011,43,1
11077,36,268,977,54,1
11123,0,126,716,20,4
11129,57,235,987,30,1
11131,0,100,659,30,4
11571,32,133,589,36,4
11932,66,211,986,36,1
11933,0,282,725,0,3
11973,90,139,1204,36,7
11974,36,268,977,54,1
12647,32,197,621,36,4
12841,46,159,629,36,4
12981,43,184,963,45,1
12982,30,151,1036,30,1
12984,69,250,905,45,1
13275,106,192,1003,41,1
13276,124,202,819,61,3
13584,72,113,668,36,4
13683,39,266,416,60,4
13901,90,373,1378,46,6
13904,88,416,866,36,3
13906,54,243,993,54,1
14076,46,159,629,36,4
14501,32,165,606,36,4
14574,91,189,917,36,1
1525,56,489,1293,49,6
1645,32,262,1023,54,1
18298,0,430,1587,36,5
18299,144,519,1546,72,5
18300,107,287,1362,36,6
18301,97,239,1141,47,7
18302,30,174,694,30,4
18303,72,216,1147,36,7
18311,107,198,1093,72,7
18312,0,540,1411,36,6
18314,0,180,626,36,4
18318,36,553,1364,36,6
18320,0,180,751,36,3
18411,63,167,719,31,4
20004,87,428,1188,54,6
30091,57,314,1202,72,7
30092,107,510,1649,72,5
30093,72,436,1272,60,6
30245,182,466,1141,54,6
40071,45,352,779,32,3
40074,79,363,739,36,3
40076,54,499,1188,72,6
40801,51,476,1366,36,6
40802,68,267,1050,30,1
40803,126,344,992,36,1
50011,0,273,1046,30,1
50012,92,160,1155,46,7
50013,36,60,534,30,4
60251,32,133,567,36,4
60253,32,183,569,36,4
65033,90,338,1198,36,7
75015,32,151,611,36,4
75017,33,225,583,36,4
75271,98,211,994,36,1
75277,30,213,1119,30,7
80267,107,478,1703,41,5
8043,36,437,1277,45,6
8044,81,817,2399,132,2
8053,60,1298,3072,54,2
90071,46,192,848,24,3
90075,72,246,807,0,3
90078,0,273,884,36,3
90081,45,66,467,30,4
90083,103,326,938,72,1
90084,72,219,863,36,3
90747,114,164,885,56,1
95041,32,133,567,36,4
95161,72,157,704,36,4
95162,194,222,1016,95,1
