ESTILO,DOBLILLADOR,PESPUNTADOR,PRELIMINAR
A-1,56,443,1097
A-2,44,150,1027
A-3,96,285,767
A-4,32,193,876
A-5,NA,458,1834
A-6,32,64,442
A-7,60,175,925
A-8,54,371,1396
A-9,NA,537,679
A-10,NA,336,1141
A-11,162,295,1011
A-12,NA,366,1323
A-13,NA,126,528
A-14,32,64,442
A-15,32,64,442
A-16,32,114,438
A-17,30,229,958
A-18,90,202,890
A-19,66,278,1224
A-20,77,147,549
A-21,66,234,833
A-22,36,222,814
A-23,119,200,1025
A-24,32,307,1012
A-25,NA,126,528
A-26,97,182,908
A-27,NA,77,456
A-28,32,64,442
A-29,107,188,659
A-30,66,185,875
A-31,66,211,752
A-32,NA,198,506
A-33,90,105,893
A-34,36,222,814
A-35,32,128,474
A-36,43,161,800
A-37,30,134,930
A-38,69,178,722
A-39,106,169,823
A-40,53,130,598
A-41,54,262,1166
A-42,113,166,674
A-43,72,90,559
A-44,54,422,1046
A-45,90,113,721
A-46,72,171,564
A-47,NA,283,769
A-48,39,180,263
A-49,90,297,1106
A-50,88,473,734
A-51,46,90,482
A-52,91,189,799
A-53,32,96,442
A-54,72,251,702
A-55,NA,242,867
A-56,NA,341,1286
A-57,NA,540,951
A-58,NA,262,969
A-59,NA,303,684
A-60,87,359,962
A-61,NA,882,1621
A-62,NA,306,841
A-63,NA,256,1010
A-64,NA,136,671
A-65,57,268,899
A-66,107,464,1310
A-67,72,318,1023
A-68,NA,466,552
A-69,182,397,946
A-70,NA,668,746
A-71,45,306,625
A-72,79,317,624
A-73,54,430,921
A-74,112,233,552
A-75,96,447,1112
A-76,99,175,763
A-77,NA,169,378
A-78,32,64,442
A-79,32,82,464
A-80,45,72,568
A-81,98,165,858
A-82,107,317,1427
A-83,32,64,416
A-84,144,325,948
A-85,46,169,722
A-86,93,183,761
A-87,45,30,330
A-88,103,266,779
A-89,72,189,644
A-90,NA,63,331
A-91,32,64,442
A-92,32,64,442
A-93,72,521,1061
A-94,72,91,590
A-95,194,222,967
A-96,72,173,774
