ESTILO,PUESTO,SEGUNDOS.POR.PAR
A-1,PRELIMINAR,1097
A-1,PESPUNTADOR,443
A-1,DOBLILLADOR,56
A-10,PRELIMINAR,1141
A-10,PESPUNTADOR,336
A-11,PRELIMINAR,1011
A-11,PESPUNTADOR,295
A-11,DOBLILLADOR,162
A-12,PRELIMINAR,1323
A-12,PESPUNTADOR,366
A-13,PRELIMINAR,528
A-13,PESPUNTADOR,126
A-14,PRELIMINAR,442
A-14,PESPUNTADOR,64
A-14,DOBLILLADOR,32
A-15,PRELIMINAR,442
A-15,PESPUNTADOR,64
A-15,DOBLILLADOR,32
A-16,PRELIMINAR,438
A-16,PESPUNTADOR,114
A-16,DOBLILLADOR,32
A-17,PRELIMINAR,958
A-17,PESPUNTADOR,229
A-17,DOBLILLADOR,30
A-18,PRELIMINAR,890
A-18,PESPUNTADOR,202
A-18,DOBLILLADOR,90
A-19,PRELIMINAR,1224
A-19,PESPUNTADOR,278
A-19,DOBLILLADOR,66
A-2,PRELIMINAR,1027
A-2,PESPUNTADOR,150
A-2,DOBLILLADOR,44
A-20,PRELIMINAR,549
A-20,PESPUNTADOR,147
A-20,DOBLILLADOR,77
A-21,PRELIMINAR,833
A-21,PESPUNTADOR,234
A-21,DOBLILLADOR,66
A-22,PRELIMINAR,814
A-22,PESPUNTADOR,222
A-22,DOBLILLADOR,36
A-23,PRELIMINAR,1025
A-23,PESPUNTADOR,200
A-23,DOBLILLADOR,119
A-24,PRELIMINAR,1012
A-24,PESPUNTADOR,307
A-24,DOBLILLADOR,32
A-25,PRELIMINAR,528
A-25,PESPUNTADOR,126
A-26,PRELIMINAR,908
A-26,PESPUNTADOR,182
A-26,DOBLILLADOR,97
A-27,PRELIMINAR,456
A-27,PESPUNTADOR,77
A-28,PRELIMINAR,442
A-28,PESPUNTADOR,64
A-28,DOBLILLADOR,32
A-29,PRELIMINAR,659
A-29,PESPUNTADOR,188
A-29,DOBLILLADOR,107
A-3,PRELIMINAR,767
A-3,PESPUNTADOR,285
A-3,DOBLILLADOR,96
A-30,PRELIMINAR,875
A-30,PESPUNTADOR,185
A-30,DOBLILLADOR,66
A-31,PRELIMINAR,752
A-31,PESPUNTADOR,211
A-31,DOBLILLADOR,66
A-32,PRELIMINAR,506
A-32,PESPUNTADOR,198
A-33,PRELIMINAR,893
A-33,PESPUNTADOR,105
A-33,DOBLILLADOR,90
A-34,PRELIMINAR,814
A-34,PESPUNTADOR,222
A-34,DOBLILLADOR,36
A-35,PRELIMINAR,474
A-35,PESPUNTADOR,128
A-35,DOBLILLADOR,32
A-36,PRELIMINAR,800
A-36,PESPUNTADOR,161
A-36,DOBLILLADOR,43
A-37,PRELIMINAR,930
A-37,PESPUNTADOR,134
A-37,DOBLILLADOR,30
A-38,PRELIMINAR,722
A-38,PESPUNTADOR,178
A-38,DOBLILLADOR,69
A-39,PRELIMINAR,823
A-39,PESPUNTADOR,169
A-39,DOBLILLADOR,106
A-4,PRELIMINAR,876
A-4,PESPUNTADOR,193
A-4,DOBLILLADOR,32
A-40,PRELIMINAR,598
A-40,PESPUNTADOR,130
A-40,DOBLILLADOR,53
A-41,PRELIMINAR,1166
A-41,PESPUNTADOR,262
A-41,DOBLILLADOR,54
A-42,PRELIMINAR,674
A-42,PESPUNTADOR,166
A-42,DOBLILLADOR,113
A-43,PRELIMINAR,559
A-43,PESPUNTADOR,90
A-43,DOBLILLADOR,72
A-44,PRELIMINAR,1046
A-44,PESPUNTADOR,422
A-44,DOBLILLADOR,54
A-45,PRELIMINAR,721
A-45,PESPUNTADOR,113
A-45,DOBLILLADOR,90
A-46,PRELIMINAR,564
A-46,PESPUNTADOR,171
A-46,DOBLILLADOR,72
A-47,PRELIMINAR,769
A-47,PESPUNTADOR,283
A-48,PRELIMINAR,263
A-48,PESPUNTADOR,180
A-48,DOBLILLADOR,39
A-49,PRELIMINAR,1106
A-49,PESPUNTADOR,297
A-49,DOBLILLADOR,90
A-5,PRELIMINAR,1834
A-5,PESPUNTADOR,458
A-50,PRELIMINAR,734
A-50,PESPUNTADOR,473
A-50,DOBLILLADOR,88
A-51,PRELIMINAR,482
A-51,PESPUNTADOR,90
A-51,DOBLILLADOR,46
A-52,PRELIMINAR,799
A-52,PESPUNTADOR,189
A-52,DOBLILLADOR,91
A-53,PRELIMINAR,442
A-53,PESPUNTADOR,96
A-53,DOBLILLADOR,32
A-54,PRELIMINAR,702
A-54,PESPUNTADOR,251
A-54,DOBLILLADOR,72
A-55,PRELIMINAR,867
A-55,PESPUNTADOR,242
A-56,PRELIMINAR,1286
A-56,PESPUNTADOR,341
A-57,PRELIMINAR,951
A-57,PESPUNTADOR,540
A-58,PRELIMINAR,969
A-58,PESPUNTADOR,262
A-59,PRELIMINAR,684
A-59,PESPUNTADOR,303
A-6,PRELIMINAR,442
A-6,PESPUNTADOR,64
A-6,DOBLILLADOR,32
A-60,PRELIMINAR,962
A-60,PESPUNTADOR,359
A-60,DOBLILLADOR,87
A-61,PRELIMINAR,1621
A-61,PESPUNTADOR,882
A-62,PRELIMINAR,841
A-62,PESPUNTADOR,306
A-63,PRELIMINAR,1010
A-63,PESPUNTADOR,256
A-64,PRELIMINAR,671
A-64,PESPUNTADOR,136
A-65,PRELIMINAR,899
A-65,PESPUNTADOR,268
A-65,DOBLILLADOR,57
A-66,PRELIMINAR,1310
A-66,PESPUNTADOR,464
A-66,DOBLILLADOR,107
A-67,PRELIMINAR,1023
A-67,PESPUNTADOR,318
A-67,DOBLILLADOR,72
A-68,PRELIMINAR,552
A-68,PESPUNTADOR,466
A-69,PRELIMINAR,946
A-69,PESPUNTADOR,397
A-69,DOBLILLADOR,182
A-7,PRELIMINAR,925
A-7,PESPUNTADOR,175
A-7,DOBLILLADOR,60
A-70,PRELIMINAR,746
A-70,PESPUNTADOR,668
A-71,PRELIMINAR,625
A-71,PESPUNTADOR,306
A-71,DOBLILLADOR,45
A-72,PRELIMINAR,624
A-72,PESPUNTADOR,317
A-72,DOBLILLADOR,79
A-73,PRELIMINAR,921
A-73,PESPUNTADOR,430
A-73,DOBLILLADOR,54
A-74,PRELIMINAR,552
A-74,PESPUNTADOR,233
A-74,DOBLILLADOR,112
A-75,PRELIMINAR,1112
A-75,PESPUNTADOR,447
A-75,DOBLILLADOR,96
A-76,PRELIMINAR,763
A-76,PESPUNTADOR,175
A-76,DOBLILLADOR,99
A-77,PRELIMINAR,378
A-77,PESPUNTADOR,169
A-78,PRELIMINAR,442
A-78,PESPUNTADOR,64
A-78,DOBLILLADOR,32
A-79,PRELIMINAR,464
A-79,PESPUNTADOR,82
A-79,DOBLILLADOR,32
A-8,PRELIMINAR,1396
A-8,PESPUNTADOR,371
A-8,DOBLILLADOR,54
A-80,PRELIMINAR,568
A-80,PESPUNTADOR,72
A-80,DOBLILLADOR,45
A-81,PRELIMINAR,858
A-81,PESPUNTADOR,165
A-81,DOBLILLADOR,98
A-82,PRELIMINAR,1427
A-82,PESPUNTADOR,317
A-82,DOBLILLADOR,107
A-83,PRELIMINAR,416
A-83,PESPUNTADOR,64
A-83,DOBLILLADOR,32
A-84,PRELIMINAR,948
A-84,PESPUNTADOR,325
A-84,DOBLILLADOR,144
A-85,PRELIMINAR,722
A-85,PESPUNTADOR,169
A-85,DOBLILLADOR,46
A-86,PRELIMINAR,761
A-86,PESPUNTADOR,183
A-86,DOBLILLADOR,93
A-87,PRELIMINAR,330
A-87,DOBLILLADOR,45
A-87,PESPUNTADOR,30
A-88,PRELIMINAR,779
A-88,PESPUNTADOR,266
A-88,DOBLILLADOR,103
A-89,PRELIMINAR,644
A-89,PESPUNTADOR,189
A-89,DOBLILLADOR,72
A-9,PRELIMINAR,679
A-9,PESPUNTADOR,537
A-90,PRELIMINAR,331
A-90,PESPUNTADOR,63
A-91,PRELIMINAR,442
A-91,PESPUNTADOR,64
A-91,DOBLILLADOR,32
A-92,PRELIMINAR,442
A-92,PESPUNTADOR,64
A-92,DOBLILLADOR,32
A-93,PRELIMINAR,1061
A-93,PESPUNTADOR,521
A-93,DOBLILLADOR,72
A-94,PRELIMINAR,590
A-94,PESPUNTADOR,91
A-94,DOBLILLADOR,72
A-95,PRELIMINAR,967
A-95,PESPUNTADOR,222
A-95,DOBLILLADOR,194
A-96,PRELIMINAR,774
A-96,PESPUNTADOR,173
A-96,DOBLILLADOR,72
